next_item,prev_items
B0046U4CGS,"['B01NCPFGQ3', 'B01N0U5UDH']"
B07QS8M6W4,"['B08HLVKVWR', 'B00I874D4Q']"
B094VMJK1G,"['B094VLF9QV', 'B0B24Z4D3V']"
B07YQ1XM6J,"['B0177HKHQK', 'B01HQHGIBY']"
B0B63T3HGD,"['B09JXY17B6', 'B004PYD9QE']"
B00LPIDLCA,"['B09JBKDSP9', 'B08KXPF5NK']"
B08FRDSKK8,"['B08TWZD1H4', 'B082DYJF52']"
B0097FVTW2,"['B00AYXV5W0', 'B00AYXV5W0']"
B007EA03UQ,"['B08J4H9RSW', 'B074RCV4HQ']"
B0942XQJYX,"['B07H72KK7H', 'B07H744FZT']"
B0838CF4T4,"['B07PNL5STG', 'B08KXPF5NK']"
B07FX4H6N5,"['B09QGX2Y8G', 'B09PZ9PFKB']"
B0859YRVFG,"['B07PRZ9XQ5', 'B0859Z1LXL']"
B016RAAUEM,"['B07YLKCQZT', 'B08DGPKWWR']"
B07JQP2719,"['B099HBQG2W', 'B099HBQG2W']"
B09PB91D74,"['B09TDD4H8N', 'B0BD6C5Q7F']"
B0742KBTWM,"['B099DQXDT8', 'B09C83H6HD']"
B09D517Q2P,"['B09D4SZL87', 'B09D55GFR2']"
B07L4D27GK,"['B07L3S2XLB', 'B07L3S2XLB']"
B09VH2MRDD,"['B085B23JHC', 'B00009R61B']"
B0B5XJRKRY,"['B0B7H8X7NF', 'B0B7H8X7NF']"
B07CRG7BBH,"['B07CRG94G3', 'B07CRGSR16']"
B07VWR8VJ1,"['B08BLBZVT4', 'B07H8P9JNM']"
B085WV4WST,"['B08WWWGJR6', 'B09XJCJH57']"
B09TB6V5HG,"['B07K4FGLMS', 'B0B55QHZM8']"
B08RQM9P47,"['B09G3C4PF7', 'B08XFFLB76']"
B087JNRW35,"['B0041WD050', 'B08VDP5VT5']"
B08F67XG18,"['B09BG9FTXP', 'B07WDF13WC']"
B00129XP8M,"['B000H2PN08', 'B0013G35KW']"
1529087058,"['B07121WVTH', 'B09VLKNP75']"
B09DFD46SY,"['B09BTKNGN5', 'B096HKQK9W']"
B00VP2SSFG,"['B0182QCU7E', 'B0BCLGK9DD']"
B08LLT89FQ,"['B07XD9HCR8', 'B0BBM3218Z']"
B07Y8QWZDW,"['B081QXPV1Y', 'B081QXPV1Y']"
B09ZJ4R24P,"['B072HYJBHX', 'B071LC5G1H']"
B07CD8N63G,"['B0B8V4NR5K', 'B0B12PYTWP']"
B08CXMNSYG,"['B085ZMLVTY', 'B085ZMLVTY']"
B09TQZNKBB,"['B0BB28SJQQ', 'B01KNWYGMW']"
B07LH5QCL5,"['B0B88PY5CC', 'B07LH56K7F']"
B013I2Z54W,"['B093LQHR2Y', 'B093LQHR2Y']"
B0B62QL2J5,"['B09PVN16HF', 'B0B4T5QBW4']"
B00D4R55W4,"['B01CRBEUVO', 'B00D4R563M']"
B072ZVX9QM,"['B00WJF8V5A', 'B00WJF8V5A']"
B000KHTES2,"['B07ZQH4VSC', 'B01117UI7K']"
B0B7S2GD7R,"['B08DFGPTSK', 'B08DFDP1TR']"
B006L68XTC,"['B001RYNMDA', 'B006CKZWD2']"
B09Z2L77Q8,"['B07JV8ZM6P', 'B07TQRZSWN']"
B076KR5TJC,"['B07B5S36DP', 'B00S1FEBKG']"
B00L4BI5VA,"['B00L4BI1ZK', 'B00L4BI6UK']"
B08JS2MPK3,"['B0B1553C4J', 'B00YTYV8YA']"
B08JMFHLRB,"['B00F1DNYPE', 'B00NFRTVY6']"
B09GBY7632,"['B08H99878P', 'B0BF51VV1Y']"
B07DDGW2GM,"['B08KS629FP', 'B015RSDMWM']"
B00VG0KBJI,"['B001RYNKYQ', 'B000KU70VC']"
B08PKKTZY5,"['B08PKLFM9T', 'B08F2NDB39']"
B015HFT0QC,"['B00TSAH04M', 'B01MXU6WV9']"
B09YHXW7V5,"['B092DK1Z3Y', 'B092DK1Z3Y']"
B09RFY7P7F,"['B09DDFDJKR', 'B09BZR9JFG']"
B00E3BH6A4,"['B0BJKC8F2F', 'B0799CLKC5']"
B089KVXMMB,"['B06W5K6SPB', 'B089KYHG3Q']"
B0BCP8VMWK,"['B0B5XP78LK', 'B09WKG566X']"
B08FQMRNWX,"['B08GFTFG2T', 'B08FQXP78Z']"
B09QGXNLNJ,"['B001D0YI7M', 'B09QGX2Y8G']"
B09YTYW7LM,"['B08K3KKNBY', 'B08ZNTM1X1']"
B07X8L2C5Z,"['0008462410', '0008462410']"
B0748J3RQ5,"['B0748HGFSF', 'B0748HGSG8']"
B06XBBS1WP,"['B06XB9Q6ZX', 'B076631ZSK']"
